error_probability,qber_no_ecc,qber_surface_code,key_rate_bps,key_rate_ecc_bps
0.0,0.00423,0.00054,991545,998929
0.0052,0.00526,0.00055,989472,998896
0.0103,0.01019,0.0008,979629,998396
0.0155,0.01816,0.00165,963678,996692
0.0207,0.02053,0.00573,958936,988544
0.0259,0.02696,0.00551,946081,988985
0.031,0.03309,0.00905,933811,981903
0.0362,0.03854,0.01246,922911,975086
0.0414,0.04093,0.01888,918132,962248
0.0466,0.04697,0.02178,906069,956443
0.0517,0.04853,0.02636,902940,947286
0.0569,0.05587,0.03157,888262,936858
0.0621,0.06009,0.03857,879823,922864
0.0672,0.07364,0.04497,852712,910053
0.0724,0.07309,0.05176,853823,896487
0.0776,0.07757,0.05953,844858,880946
0.0828,0.08801,0.06788,823985,864245
0.0879,0.08934,0.07856,821312,842874
0.0931,0.09568,0.08685,808632,826302
0.0983,0.10265,0.09732,794698,805364
0.1034,0.10208,0.10765,795838,784698
0.1086,0.10189,0.11,796220,780000
0.1138,0.11515,0.11,769698,780000
0.119,0.11813,0.11,763741,780000
0.1241,0.12493,0.11,750138,780000
0.1293,0.12637,0.11,747264,780000
0.1345,0.14184,0.11,716320,780000
0.1397,0.13738,0.11,725246,780000
0.1448,0.14565,0.11,708701,780000
0.15,0.15383,0.11,692346,780000
